# event_ticker=KXATPMATCH-26APR05RUBBOR
# final_score=6-4 1-6 6-1
# score_resolution=4-6 6-1 1-6
# match_winner=Andrey Rublev
# fav_player=Nuno Borges
# dog_player=Andrey Rublev
# kalshi_date=2026-04-05
timestamp,Nuno Borges,Andrey Rublev
2026-04-06T06:52:00Z,21.00,81.00
2026-04-06T06:53:00Z,21.00,81.00
2026-04-06T06:56:00Z,20.00,81.00
2026-04-06T06:57:00Z,20.00,81.00
2026-04-06T06:58:00Z,20.00,81.00
2026-04-06T06:59:00Z,21.00,80.00
2026-04-06T07:00:00Z,21.00,81.00
2026-04-06T07:02:00Z,21.00,81.00
2026-04-06T07:04:00Z,21.00,81.00
2026-04-06T07:05:00Z,21.00,81.00
2026-04-06T07:06:00Z,21.00,81.00
2026-04-06T07:08:00Z,21.00,81.00
2026-04-06T07:11:00Z,21.00,81.00
2026-04-06T07:12:00Z,21.00,81.00
2026-04-06T07:13:00Z,21.00,81.00
2026-04-06T07:14:00Z,21.00,81.00
2026-04-06T07:16:00Z,21.00,81.00
2026-04-06T07:18:00Z,20.00,80.00
2026-04-06T07:21:00Z,20.00,81.00
2026-04-06T07:22:00Z,20.00,80.00
2026-04-06T07:23:00Z,21.00,80.00
2026-04-06T07:24:00Z,21.00,80.00
2026-04-06T07:28:00Z,21.00,81.00
2026-04-06T07:30:00Z,21.00,81.00
2026-04-06T07:31:00Z,21.00,81.00
2026-04-06T07:33:00Z,21.00,81.00
2026-04-06T07:35:00Z,21.00,81.00
2026-04-06T07:36:00Z,21.00,81.00
2026-04-06T07:37:00Z,21.00,81.00
2026-04-06T07:38:00Z,21.00,81.00
2026-04-06T07:39:00Z,21.00,81.00
2026-04-06T07:42:00Z,21.00,81.00
2026-04-06T07:43:00Z,21.00,81.00
2026-04-06T07:45:00Z,21.00,81.00
2026-04-06T07:46:00Z,21.00,81.00
2026-04-06T07:49:00Z,21.00,81.00
2026-04-06T07:54:00Z,21.00,81.00
2026-04-06T07:56:00Z,21.00,81.00
2026-04-06T08:00:00Z,21.00,81.00
2026-04-06T08:06:00Z,20.00,81.34
2026-04-06T08:07:00Z,19.94,81.34
2026-04-06T08:08:00Z,20.00,81.34
2026-04-06T08:11:00Z,20.00,81.34
2026-04-06T08:15:00Z,20.00,81.00
2026-04-06T08:22:00Z,20.00,81.00
2026-04-06T08:24:00Z,20.00,81.00
2026-04-06T08:27:00Z,20.00,81.00
2026-04-06T08:28:00Z,20.00,81.00
2026-04-06T08:30:00Z,20.00,81.00
2026-04-06T08:33:00Z,20.00,81.00
2026-04-06T08:34:00Z,20.00,81.00
2026-04-06T08:38:00Z,20.00,81.00
2026-04-06T08:40:00Z,20.00,81.00
2026-04-06T08:42:00Z,20.00,81.00
2026-04-06T08:44:00Z,19.00,81.00
2026-04-06T08:45:00Z,19.00,81.00
2026-04-06T08:46:00Z,20.00,81.00
2026-04-06T08:49:00Z,19.00,81.00
2026-04-06T08:50:00Z,19.00,81.00
2026-04-06T08:51:00Z,19.00,81.00
2026-04-06T08:52:00Z,19.00,81.00
2026-04-06T08:53:00Z,19.00,81.00
2026-04-06T08:55:00Z,19.00,81.76
2026-04-06T08:56:00Z,19.00,81.00
2026-04-06T08:57:00Z,20.00,81.00
2026-04-06T08:58:00Z,20.00,81.00
2026-04-06T08:59:00Z,20.00,81.00
2026-04-06T09:01:00Z,20.00,81.00
2026-04-06T09:02:00Z,20.00,80.85
2026-04-06T09:03:00Z,20.00,81.00
2026-04-06T09:04:00Z,20.00,81.00
2026-04-06T09:05:00Z,20.00,81.00
2026-04-06T09:06:00Z,20.00,81.00
2026-04-06T09:08:00Z,20.00,81.00
