# event_ticker=KXATPMATCH-26MAY20COMMUN
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Jaume Munar
# fav_player=Francisco Comesana
# dog_player=Jaume Munar
# kalshi_date=2026-05-20
timestamp,Francisco Comesana,Jaume Munar
2026-05-20T12:18:00Z,3.00,94.29
2026-05-20T12:19:00Z,6.77,94.02
2026-05-20T12:20:00Z,7.81,93.94
2026-05-20T12:21:00Z,9.00,92.00
2026-05-20T12:22:00Z,8.91,92.00
2026-05-20T12:23:00Z,8.91,92.21
2026-05-20T12:24:00Z,5.67,94.41
2026-05-20T12:25:00Z,5.00,95.00
2026-05-20T12:26:00Z,4.00,97.00
2026-05-20T12:27:00Z,4.50,96.50
2026-05-20T12:28:00Z,5.00,95.02
2026-05-20T12:29:00Z,6.00,94.00
2026-05-20T12:30:00Z,6.86,93.56
2026-05-20T12:31:00Z,7.00,93.56
2026-05-20T12:32:00Z,4.47,95.40
2026-05-20T12:33:00Z,3.00,96.63
2026-05-20T12:34:00Z,3.09,97.00
2026-05-20T12:35:00Z,2.89,98.00
2026-05-20T12:36:00Z,4.03,96.88
2026-05-20T12:37:00Z,4.80,96.74
2026-05-20T12:38:00Z,5.00,96.00
2026-05-20T12:39:00Z,3.01,97.16
2026-05-20T12:40:00Z,1.08,99.00
2026-05-20T12:41:00Z,1.81,98.77
2026-05-20T12:42:00Z,1.26,98.93
2026-05-20T12:43:00Z,1.26,99.00
2026-05-20T12:44:00Z,1.26,99.00
2026-05-20T12:45:00Z,1.26,99.00
