# event_ticker=KXATPMATCH-26FEB16BORWON
# final_score=7-6(5) 4-6 6-3
# score_resolution=7-6 4-6 6-3
# match_winner=Coleman Wong
# fav_player=Coleman Wong
# dog_player=Nuno Borges
# kalshi_date=2026-02-16
timestamp,Coleman Wong,Nuno Borges
2026-02-16T17:38:00Z,44.05,57.00
2026-02-16T17:39:00Z,44.00,57.00
2026-02-16T17:41:00Z,44.00,57.00
2026-02-16T17:42:00Z,44.00,57.00
2026-02-16T17:43:00Z,44.00,57.91
2026-02-16T17:44:00Z,44.00,57.00
2026-02-16T17:45:00Z,44.00,57.00
2026-02-16T17:46:00Z,44.00,57.04
2026-02-16T17:47:00Z,43.34,57.00
2026-02-16T17:48:00Z,42.00,57.02
2026-02-16T17:49:00Z,42.00,57.89
2026-02-16T17:50:00Z,44.00,58.00
2026-02-16T17:51:00Z,44.00,58.00
2026-02-16T17:52:00Z,44.00,58.00
2026-02-16T17:53:00Z,44.00,57.00
2026-02-16T17:54:00Z,44.00,57.00
2026-02-16T17:55:00Z,44.00,57.89
2026-02-16T17:56:00Z,44.00,57.00
2026-02-16T17:57:00Z,44.00,56.84
2026-02-16T17:58:00Z,44.00,56.84
2026-02-16T17:59:00Z,44.00,56.00
2026-02-16T18:00:00Z,44.00,57.87
2026-02-16T18:01:00Z,44.00,57.00
2026-02-16T18:02:00Z,44.00,57.00
2026-02-16T18:03:00Z,44.00,57.00
2026-02-16T18:04:00Z,44.00,57.00
2026-02-16T18:05:00Z,44.00,57.37
2026-02-16T18:06:00Z,44.00,57.00
2026-02-16T18:07:00Z,44.00,57.00
2026-02-16T18:08:00Z,45.06,57.24
2026-02-16T18:09:00Z,45.00,56.96
2026-02-16T18:10:00Z,44.27,56.66
2026-02-16T18:11:00Z,43.09,56.88
2026-02-16T18:12:00Z,46.60,55.10
2026-02-16T18:13:00Z,48.82,52.62
2026-02-16T18:14:00Z,46.84,56.82
2026-02-16T18:15:00Z,42.46,58.56
2026-02-16T18:16:00Z,41.38,60.24
2026-02-16T18:17:00Z,35.11,63.21
2026-02-16T18:18:00Z,25.71,73.55
2026-02-16T18:19:00Z,24.33,76.58
2026-02-16T18:20:00Z,23.66,77.92
2026-02-16T18:21:00Z,23.35,76.67
2026-02-16T18:22:00Z,22.07,78.49
2026-02-16T18:23:00Z,20.20,81.08
2026-02-16T18:24:00Z,22.11,80.80
2026-02-16T18:25:00Z,23.91,77.68
2026-02-16T18:26:00Z,24.17,77.70
2026-02-16T18:27:00Z,21.12,80.49
2026-02-16T18:28:00Z,21.00,80.53
