# event_ticker=KXATPMATCH-25JUL29BORBAG
# final_score=5-7 7-6(3) 6-2
# score_resolution=7-5 6-7 2-6
# match_winner=Nuno Borges
# fav_player=Facundo Bagnis
# dog_player=Nuno Borges
# kalshi_date=2025-07-29
timestamp,Facundo Bagnis,Nuno Borges
2025-07-29T23:55:00Z,25.27,75.00
2025-07-29T23:56:00Z,25.14,79.12
2025-07-29T23:57:00Z,21.10,84.00
2025-07-29T23:58:00Z,18.18,84.71
2025-07-29T23:59:00Z,22.28,82.16
2025-07-30T00:00:00Z,25.37,78.00
2025-07-30T00:01:00Z,24.39,78.00
2025-07-30T00:02:00Z,29.61,74.00
2025-07-30T00:03:00Z,28.60,71.00
2025-07-30T00:04:00Z,33.63,69.98
2025-07-30T00:05:00Z,33.15,71.50
2025-07-30T00:06:00Z,33.15,74.00
2025-07-30T00:07:00Z,32.83,65.00
2025-07-30T00:08:00Z,25.35,73.00
2025-07-30T00:09:00Z,23.27,81.97
2025-07-30T00:10:00Z,11.86,88.36
2025-07-30T00:11:00Z,10.84,90.09
2025-07-30T00:12:00Z,10.03,91.00
2025-07-30T00:13:00Z,7.91,93.15
2025-07-30T00:14:00Z,5.20,93.15
2025-07-30T00:15:00Z,3.93,96.14
2025-07-30T00:16:00Z,3.93,96.14
2025-07-30T00:17:00Z,2.63,98.40
2025-07-30T00:18:00Z,2.52,99.00
2025-07-30T00:20:00Z,2.52,97.04
2025-07-30T00:21:00Z,2.00,99.00
2025-07-30T00:22:00Z,2.00,99.00
2025-07-30T00:24:00Z,2.00,99.00
2025-07-30T00:25:00Z,2.00,99.00
