# event_ticker=KXATPMATCH-25SEP18HIJUGO
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Rinky Hijikata
# fav_player=Rinky Hijikata
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-09-18
timestamp,Rinky Hijikata,Camilo Ugo Carabelli
2025-09-19T05:28:00Z,77.21,20.06
2025-09-19T05:29:00Z,74.61,35.69
2025-09-19T05:30:00Z,70.00,36.76
2025-09-19T05:31:00Z,77.61,28.30
2025-09-19T05:32:00Z,75.57,26.79
2025-09-19T05:33:00Z,77.77,24.00
2025-09-19T05:34:00Z,76.00,21.22
2025-09-19T05:35:00Z,68.90,21.55
2025-09-19T05:36:00Z,81.48,20.85
2025-09-19T05:37:00Z,81.48,19.51
2025-09-19T05:38:00Z,82.90,20.90
2025-09-19T05:39:00Z,72.51,22.42
2025-09-19T05:40:00Z,81.00,20.48
2025-09-19T05:41:00Z,83.01,12.01
2025-09-19T05:42:00Z,88.09,11.28
2025-09-19T05:43:00Z,86.18,9.69
2025-09-19T05:44:00Z,91.98,8.54
2025-09-19T05:45:00Z,91.98,9.29
2025-09-19T05:46:00Z,91.98,12.79
2025-09-19T05:47:00Z,89.45,13.00
2025-09-19T05:48:00Z,89.98,12.19
2025-09-19T05:49:00Z,91.04,9.88
2025-09-19T05:50:00Z,90.38,10.15
2025-09-19T05:51:00Z,90.11,10.18
2025-09-19T05:52:00Z,89.88,12.81
2025-09-19T05:53:00Z,88.48,12.52
2025-09-19T05:54:00Z,89.89,11.40
2025-09-19T05:55:00Z,92.31,6.33
2025-09-19T05:56:00Z,91.73,10.00
2025-09-19T05:57:00Z,89.99,10.00
2025-09-19T05:58:00Z,92.00,10.27
2025-09-19T05:59:00Z,89.72,10.73
2025-09-19T06:00:00Z,95.02,5.16
2025-09-19T06:01:00Z,97.21,4.36
2025-09-19T06:02:00Z,97.13,4.00
2025-09-19T06:03:00Z,93.85,5.51
2025-09-19T06:04:00Z,97.38,5.58
2025-09-19T06:05:00Z,95.00,4.62
2025-09-19T06:06:00Z,94.21,8.94
2025-09-19T06:07:00Z,95.58,5.85
2025-09-19T06:08:00Z,95.00,4.46
2025-09-19T06:09:00Z,99.00,1.05
2025-09-19T06:10:00Z,99.00,1.05
2025-09-19T06:11:00Z,99.00,1.05
2025-09-19T06:12:00Z,99.00,1.05
2025-09-19T06:14:00Z,99.00,1.05
2025-09-19T06:15:00Z,99.00,1.05
2025-09-19T06:16:00Z,99.00,1.00
