# event_ticker=KXATPMATCH-25OCT28SHECOB
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Ben Shelton
# fav_player=Ben Shelton
# dog_player=Flavio Cobolli
# kalshi_date=2025-10-28
timestamp,Ben Shelton,Flavio Cobolli
2025-10-28T17:32:00Z,49.21,53.00
2025-10-28T17:33:00Z,47.32,54.18
2025-10-28T17:34:00Z,44.78,56.22
2025-10-28T17:35:00Z,46.68,57.26
2025-10-28T17:36:00Z,45.26,56.64
2025-10-28T17:37:00Z,45.23,55.92
2025-10-28T17:38:00Z,47.31,56.01
2025-10-28T17:39:00Z,46.00,56.07
2025-10-28T17:40:00Z,47.09,55.98
2025-10-28T17:41:00Z,47.77,52.22
2025-10-28T17:42:00Z,45.06,55.68
2025-10-28T17:43:00Z,45.00,57.00
2025-10-28T17:44:00Z,41.20,57.53
2025-10-28T17:45:00Z,44.98,57.00
2025-10-28T17:46:00Z,47.83,54.53
2025-10-28T17:47:00Z,46.80,54.64
2025-10-28T17:48:00Z,46.20,54.61
2025-10-28T17:49:00Z,45.00,56.00
2025-10-28T17:50:00Z,46.01,56.35
2025-10-28T17:51:00Z,45.45,55.30
2025-10-28T17:52:00Z,47.45,52.53
2025-10-28T17:53:00Z,48.93,50.58
2025-10-28T17:54:00Z,51.20,50.31
2025-10-28T17:55:00Z,49.42,52.09
2025-10-28T17:56:00Z,46.02,54.00
2025-10-28T17:57:00Z,47.00,53.00
2025-10-28T17:58:00Z,44.86,54.61
2025-10-28T17:59:00Z,43.81,57.19
2025-10-28T18:00:00Z,42.25,60.36
2025-10-28T18:01:00Z,37.83,63.20
2025-10-28T18:02:00Z,43.25,56.67
2025-10-28T18:03:00Z,46.45,54.96
2025-10-28T18:04:00Z,48.00,54.37
2025-10-28T18:05:00Z,47.58,54.87
2025-10-28T18:06:00Z,45.32,55.08
2025-10-28T18:07:00Z,44.31,55.99
2025-10-28T18:08:00Z,46.32,55.10
2025-10-28T18:09:00Z,46.34,53.19
