# event_ticker=KXATPMATCH-26MAR23CILZVE
# final_score=6-2 5-7 6-4
# score_resolution=2-6 7-5 4-6
# match_winner=Alexander Zverev
# fav_player=Marin Cilic
# dog_player=Alexander Zverev
# kalshi_date=2026-03-23
timestamp,Marin Cilic,Alexander Zverev
2026-03-24T00:03:00Z,23.07,77.57
2026-03-24T00:04:00Z,21.40,80.61
2026-03-24T00:05:00Z,20.83,80.28
2026-03-24T00:06:00Z,24.10,76.00
2026-03-24T00:07:00Z,23.50,76.36
2026-03-24T00:08:00Z,21.32,79.01
2026-03-24T00:09:00Z,21.29,78.89
2026-03-24T00:10:00Z,25.00,75.72
2026-03-24T00:11:00Z,21.29,80.72
2026-03-24T00:12:00Z,13.22,85.01
2026-03-24T00:13:00Z,4.56,95.40
2026-03-24T00:14:00Z,3.98,95.09
2026-03-24T00:15:00Z,4.13,96.00
2026-03-24T00:16:00Z,2.80,97.64
2026-03-24T00:17:00Z,2.91,97.23
2026-03-24T00:18:00Z,2.54,97.87
2026-03-24T00:19:00Z,2.14,98.26
2026-03-24T00:20:00Z,2.44,98.06
2026-03-24T00:21:00Z,1.89,98.07
2026-03-24T00:22:00Z,2.36,97.55
2026-03-24T00:23:00Z,3.68,97.02
2026-03-24T00:24:00Z,3.85,96.28
2026-03-24T00:25:00Z,3.91,96.89
2026-03-24T00:26:00Z,3.23,97.00
2026-03-24T00:27:00Z,4.93,96.10
2026-03-24T00:28:00Z,4.27,95.83
2026-03-24T00:29:00Z,2.64,97.00
2026-03-24T00:30:00Z,2.16,97.94
2026-03-24T00:31:00Z,3.51,96.46
2026-03-24T00:32:00Z,4.00,96.44
2026-03-24T00:33:00Z,3.81,97.00
2026-03-24T00:34:00Z,3.43,97.00
2026-03-24T00:35:00Z,2.94,97.98
2026-03-24T00:36:00Z,1.69,97.06
2026-03-24T00:37:00Z,1.76,98.46
2026-03-24T00:38:00Z,2.53,97.58
2026-03-24T00:39:00Z,2.75,97.96
2026-03-24T00:40:00Z,2.14,98.00
2026-03-24T00:41:00Z,1.00,99.00
2026-03-24T00:42:00Z,1.00,99.00
2026-03-24T00:43:00Z,1.00,99.00
2026-03-24T00:44:00Z,1.00,99.00
2026-03-24T00:45:00Z,1.00,99.00
2026-03-24T00:46:00Z,1.00,99.00
