# event_ticker=KXATPMATCH-25JUL28CORGIG
# final_score=4-6 6-2 7-6(2)
# score_resolution=6-4 2-6 6-7
# match_winner=Matteo Gigante
# fav_player=Borna Coric
# dog_player=Matteo Gigante
# kalshi_date=2025-07-28
timestamp,Borna Coric,Matteo Gigante
2025-07-28T23:01:00Z,31.97,67.87
2025-07-28T23:02:00Z,30.20,70.24
2025-07-28T23:03:00Z,34.97,67.00
2025-07-28T23:04:00Z,38.79,67.00
2025-07-28T23:05:00Z,40.00,64.00
2025-07-28T23:06:00Z,32.00,69.68
2025-07-28T23:07:00Z,31.00,69.00
2025-07-28T23:08:00Z,29.70,71.00
2025-07-28T23:09:00Z,31.79,68.00
2025-07-28T23:10:00Z,32.00,63.97
2025-07-28T23:11:00Z,38.16,61.59
2025-07-28T23:12:00Z,39.28,62.54
2025-07-28T23:13:00Z,41.80,60.21
2025-07-28T23:14:00Z,44.50,54.25
2025-07-28T23:15:00Z,40.18,61.17
2025-07-28T23:16:00Z,34.03,64.92
2025-07-28T23:17:00Z,42.50,60.08
2025-07-28T23:18:00Z,42.50,59.50
2025-07-28T23:19:00Z,61.38,35.49
2025-07-28T23:20:00Z,72.40,37.87
2025-07-28T23:21:00Z,76.37,28.93
2025-07-28T23:22:00Z,76.21,26.80
2025-07-28T23:23:00Z,57.85,37.70
2025-07-28T23:24:00Z,54.59,46.68
2025-07-28T23:25:00Z,40.25,58.32
2025-07-28T23:26:00Z,39.72,65.05
2025-07-28T23:27:00Z,30.21,66.96
2025-07-28T23:28:00Z,37.75,62.89
2025-07-28T23:29:00Z,29.19,67.15
2025-07-28T23:30:00Z,32.59,70.12
2025-07-28T23:31:00Z,33.21,66.98
2025-07-28T23:32:00Z,33.12,71.55
2025-07-28T23:33:00Z,14.24,82.89
2025-07-28T23:34:00Z,7.18,91.03
2025-07-28T23:35:00Z,9.28,87.89
2025-07-28T23:36:00Z,31.39,71.69
2025-07-28T23:37:00Z,35.76,65.98
2025-07-28T23:38:00Z,38.25,68.52
2025-07-28T23:39:00Z,31.41,70.95
2025-07-28T23:40:00Z,28.66,71.00
2025-07-28T23:41:00Z,31.18,68.59
2025-07-28T23:42:00Z,28.00,72.00
