# event_ticker=KXATPMATCH-26MAR08DAVMEN
# final_score=6-2 4-6 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Jakub Mensik
# kalshi_date=2026-03-08
timestamp,Alejandro Davidovich Fokina,Jakub Mensik
2026-03-08T20:24:00Z,43.00,59.00
2026-03-08T20:25:00Z,43.00,59.00
2026-03-08T20:26:00Z,43.00,58.98
2026-03-08T20:27:00Z,43.00,59.00
2026-03-08T20:28:00Z,43.00,59.00
2026-03-08T20:30:00Z,43.00,59.00
2026-03-08T20:31:00Z,43.00,59.00
2026-03-08T20:33:00Z,43.00,59.00
2026-03-08T20:34:00Z,43.00,59.00
2026-03-08T20:35:00Z,43.00,59.00
2026-03-08T20:36:00Z,43.00,58.00
2026-03-08T20:37:00Z,43.00,58.00
2026-03-08T20:38:00Z,43.00,59.00
2026-03-08T20:41:00Z,43.00,59.00
2026-03-08T20:45:00Z,43.00,59.00
2026-03-08T20:46:00Z,43.00,59.00
2026-03-08T20:47:00Z,43.00,58.44
2026-03-08T20:48:00Z,43.00,59.00
2026-03-08T20:49:00Z,43.00,59.00
2026-03-08T20:50:00Z,43.00,59.00
2026-03-08T20:51:00Z,43.00,59.00
2026-03-08T20:52:00Z,43.00,58.34
2026-03-08T20:53:00Z,43.00,59.00
2026-03-08T20:54:00Z,43.00,59.00
2026-03-08T20:55:00Z,43.00,59.00
2026-03-08T20:56:00Z,43.00,59.00
2026-03-08T20:57:00Z,42.96,59.00
2026-03-08T20:58:00Z,42.96,59.00
2026-03-08T20:59:00Z,43.00,59.00
2026-03-08T21:00:00Z,43.00,59.00
2026-03-08T21:01:00Z,43.00,59.00
2026-03-08T21:02:00Z,43.00,59.00
2026-03-08T21:03:00Z,43.00,59.00
2026-03-08T21:04:00Z,43.00,59.00
2026-03-08T21:05:00Z,43.00,59.00
2026-03-08T21:06:00Z,43.00,59.00
2026-03-08T21:07:00Z,43.00,59.00
2026-03-08T21:08:00Z,42.23,59.00
2026-03-08T21:09:00Z,43.00,59.00
2026-03-08T21:10:00Z,43.00,59.00
2026-03-08T21:11:00Z,43.00,59.00
2026-03-08T21:12:00Z,43.96,57.21
2026-03-08T21:13:00Z,46.77,52.92
2026-03-08T21:14:00Z,41.77,58.34
2026-03-08T21:15:00Z,41.00,61.02
2026-03-08T21:16:00Z,41.59,60.68
2026-03-08T21:17:00Z,41.19,60.81
2026-03-08T21:18:00Z,43.00,55.25
2026-03-08T21:19:00Z,43.79,56.42
