# event_ticker=KXATPMATCH-26FEB25MEDWAW
# final_score=6-2 6-3
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Stan Wawrinka
# kalshi_date=2026-02-25
timestamp,Daniil Medvedev,Stan Wawrinka
2026-02-25T10:16:00Z,85.00,18.28
2026-02-25T10:17:00Z,82.67,18.99
2026-02-25T10:18:00Z,82.03,20.39
2026-02-25T10:19:00Z,79.84,19.66
2026-02-25T10:20:00Z,83.54,18.91
2026-02-25T10:21:00Z,85.00,16.24
2026-02-25T10:22:00Z,85.00,15.75
2026-02-25T10:23:00Z,84.39,15.66
2026-02-25T10:24:00Z,85.38,14.66
2026-02-25T10:25:00Z,89.05,12.35
2026-02-25T10:26:00Z,92.00,8.89
2026-02-25T10:27:00Z,93.00,9.00
2026-02-25T10:28:00Z,94.00,7.80
2026-02-25T10:29:00Z,94.00,7.82
2026-02-25T10:30:00Z,94.08,7.11
2026-02-25T10:31:00Z,96.00,5.79
2026-02-25T10:32:00Z,96.00,5.74
2026-02-25T10:33:00Z,96.00,5.00
2026-02-25T10:34:00Z,95.23,6.00
2026-02-25T10:35:00Z,94.56,6.48
2026-02-25T10:36:00Z,92.20,7.36
2026-02-25T10:37:00Z,91.00,9.92
2026-02-25T10:38:00Z,93.72,9.84
2026-02-25T10:39:00Z,93.92,7.27
2026-02-25T10:40:00Z,93.88,8.07
2026-02-25T10:41:00Z,93.00,9.66
2026-02-25T10:42:00Z,94.12,7.93
2026-02-25T10:43:00Z,95.00,7.88
2026-02-25T10:44:00Z,96.00,7.00
2026-02-25T10:45:00Z,96.00,7.00
2026-02-25T10:46:00Z,95.00,5.10
2026-02-25T10:47:00Z,95.00,5.90
2026-02-25T10:48:00Z,96.00,6.00
2026-02-25T10:49:00Z,96.00,4.62
2026-02-25T10:50:00Z,96.14,6.43
2026-02-25T10:51:00Z,96.14,5.66
2026-02-25T10:52:00Z,97.00,3.99
2026-02-25T10:53:00Z,95.00,2.24
2026-02-25T10:54:00Z,99.00,1.96
2026-02-25T10:55:00Z,99.00,1.55
2026-02-25T10:56:00Z,98.00,3.59
2026-02-25T10:57:00Z,96.80,4.94
2026-02-25T10:58:00Z,95.85,5.03
2026-02-25T10:59:00Z,93.69,5.16
2026-02-25T11:00:00Z,93.30,5.00
2026-02-25T11:01:00Z,95.84,5.78
2026-02-25T11:02:00Z,94.00,7.00
2026-02-25T11:03:00Z,93.01,7.00
2026-02-25T11:04:00Z,93.17,7.00
2026-02-25T11:05:00Z,93.00,8.84
2026-02-25T11:06:00Z,94.00,6.22
2026-02-25T11:07:00Z,95.00,5.35
2026-02-25T11:08:00Z,95.39,5.40
2026-02-25T11:09:00Z,94.75,6.16
2026-02-25T11:10:00Z,95.00,6.49
2026-02-25T11:11:00Z,96.33,3.58
2026-02-25T11:12:00Z,96.00,5.39
2026-02-25T11:13:00Z,93.00,7.51
2026-02-25T11:14:00Z,92.40,7.97
2026-02-25T11:15:00Z,91.99,8.56
2026-02-25T11:16:00Z,91.90,7.04
2026-02-25T11:17:00Z,95.00,6.00
2026-02-25T11:18:00Z,94.98,6.54
2026-02-25T11:19:00Z,94.00,6.79
2026-02-25T11:20:00Z,97.93,2.27
2026-02-25T11:21:00Z,99.00,1.99
2026-02-25T11:22:00Z,98.91,2.63
2026-02-25T11:23:00Z,97.25,2.22
2026-02-25T11:24:00Z,99.00,1.56
2026-02-25T11:25:00Z,99.00,1.59
2026-02-25T11:26:00Z,99.00,1.04
2026-02-25T11:27:00Z,99.00,1.04
