# event_ticker=KXATPMATCH-25SEP22NAKTAB
# final_score=6-4 7-6(0)
# score_resolution=6-4 7-6
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Brandon Nakashima
# kalshi_date=2025-09-22
timestamp,Alejandro Tabilo,Brandon Nakashima
2025-09-22T10:33:00Z,62.00,37.02
2025-09-22T10:34:00Z,66.09,38.00
2025-09-22T10:35:00Z,69.00,30.00
2025-09-22T10:36:00Z,69.00,29.35
2025-09-22T10:37:00Z,68.47,18.00
2025-09-22T10:38:00Z,84.29,17.97
2025-09-22T10:39:00Z,87.01,11.59
2025-09-22T10:40:00Z,96.54,5.01
2025-09-22T10:41:00Z,98.45,1.00
2025-09-22T10:42:00Z,99.00,1.00
2025-09-22T10:43:00Z,99.00,1.00
2025-09-22T10:44:00Z,99.00,1.00
2025-09-22T10:45:00Z,99.00,1.00
2025-09-22T10:46:00Z,99.00,1.00
2025-09-22T10:49:00Z,99.00,1.00
