# event_ticker=KXATPCHALLENGERMATCH-26FEB23SQUPIR
# final_score=7-5 7-6(5)
# score_resolution=5-7 6-7
# match_winner=Zsombor Piros
# fav_player=Henri Squire
# dog_player=Zsombor Piros
# kalshi_date=2026-02-23
timestamp,Henri Squire,Zsombor Piros
2026-02-23T18:43:00Z,16.09,85.23
2026-02-23T18:44:00Z,11.92,87.34
2026-02-23T18:45:00Z,21.10,78.36
2026-02-23T18:46:00Z,21.68,82.95
2026-02-23T18:47:00Z,23.95,78.09
2026-02-23T18:48:00Z,18.76,81.32
2026-02-23T18:49:00Z,26.07,76.06
2026-02-23T18:50:00Z,24.39,74.86
2026-02-23T18:51:00Z,11.09,92.22
2026-02-23T18:52:00Z,3.96,95.70
2026-02-23T18:53:00Z,1.00,99.00
2026-02-23T18:54:00Z,1.00,99.00
2026-02-23T18:55:00Z,1.00,99.00
2026-02-23T18:56:00Z,1.00,99.00
2026-02-23T18:57:00Z,1.00,99.00
2026-02-23T18:58:00Z,1.00,99.00
2026-02-23T18:59:00Z,1.00,99.00
2026-02-23T19:00:00Z,1.00,99.00
2026-02-23T19:01:00Z,1.00,99.00
2026-02-23T19:02:00Z,1.00,99.00
