# event_ticker=KXATPMATCH-26FEB22POPMAJ
# final_score=3-6 6-3 7-5
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Kamil Majchrzak
# kalshi_date=2026-02-22
timestamp,Alexei Popyrin,Kamil Majchrzak
2026-02-24T17:07:00Z,55.62,46.28
2026-02-24T17:08:00Z,52.73,50.66
2026-02-24T17:09:00Z,55.29,46.01
2026-02-24T17:10:00Z,59.36,42.29
2026-02-24T17:11:00Z,65.91,36.54
2026-02-24T17:12:00Z,63.18,39.02
2026-02-24T17:13:00Z,62.09,37.94
2026-02-24T17:14:00Z,54.07,46.97
2026-02-24T17:15:00Z,53.93,46.92
2026-02-24T17:16:00Z,55.85,46.06
2026-02-24T17:17:00Z,53.57,47.27
2026-02-24T17:18:00Z,59.40,41.94
2026-02-24T17:19:00Z,60.61,40.38
2026-02-24T17:20:00Z,55.31,45.15
2026-02-24T17:21:00Z,52.00,48.04
2026-02-24T17:22:00Z,53.24,47.97
2026-02-24T17:23:00Z,53.17,47.92
2026-02-24T17:24:00Z,57.03,42.49
2026-02-24T17:25:00Z,52.51,49.87
2026-02-24T17:26:00Z,53.53,47.61
2026-02-24T17:27:00Z,57.71,42.44
2026-02-24T17:28:00Z,56.96,43.39
2026-02-24T17:29:00Z,60.51,41.26
2026-02-24T17:30:00Z,65.21,35.27
2026-02-24T17:31:00Z,57.11,43.08
2026-02-24T17:32:00Z,51.38,49.19
2026-02-24T17:33:00Z,50.81,49.53
2026-02-24T17:34:00Z,54.33,46.02
2026-02-24T17:35:00Z,59.92,41.44
2026-02-24T17:36:00Z,72.23,27.05
2026-02-24T17:37:00Z,89.31,11.67
2026-02-24T17:38:00Z,94.75,5.70
2026-02-24T17:39:00Z,92.14,6.61
2026-02-24T17:40:00Z,92.66,8.54
2026-02-24T17:41:00Z,95.66,4.28
2026-02-24T17:42:00Z,93.08,6.95
2026-02-24T17:43:00Z,98.15,2.45
2026-02-24T17:44:00Z,99.00,1.00
2026-02-24T17:45:00Z,99.00,1.00
2026-02-24T17:46:00Z,99.00,1.00
2026-02-24T17:47:00Z,99.00,1.00
2026-02-24T17:48:00Z,99.00,1.00
2026-02-24T17:49:00Z,99.00,1.00
2026-02-24T17:50:00Z,99.00,1.00
2026-02-24T17:51:00Z,99.00,1.00
2026-02-24T17:52:00Z,99.00,1.00
