# event_ticker=KXATPCHALLENGERMATCH-26MAR19TRASQU
# final_score=6-3 6-2
# match_winner=Stefano Travaglia
# fav_player=Stefano Travaglia
# dog_player=Henri Squire
# kalshi_date=2026-03-19
timestamp,Stefano Travaglia,Henri Squire
2026-03-19T12:46:00Z,87.26,13.93
2026-03-19T12:47:00Z,87.61,14.67
2026-03-19T12:48:00Z,86.06,14.62
2026-03-19T12:49:00Z,83.33,17.38
2026-03-19T12:50:00Z,87.42,14.21
2026-03-19T12:51:00Z,86.05,14.12
2026-03-19T12:52:00Z,88.00,12.87
2026-03-19T12:53:00Z,88.46,13.00
2026-03-19T12:54:00Z,88.75,12.77
2026-03-19T12:55:00Z,88.00,12.93
2026-03-19T12:56:00Z,87.24,13.31
2026-03-19T12:57:00Z,88.12,10.94
2026-03-19T12:58:00Z,91.66,8.31
2026-03-19T12:59:00Z,93.84,3.26
2026-03-19T13:00:00Z,94.48,5.16
2026-03-19T13:01:00Z,95.92,5.61
2026-03-19T13:02:00Z,94.86,5.97
2026-03-19T13:03:00Z,95.96,5.09
2026-03-19T13:04:00Z,95.01,5.19
2026-03-19T13:05:00Z,95.56,4.29
2026-03-19T13:06:00Z,97.69,2.48
2026-03-19T13:07:00Z,98.97,1.18
2026-03-19T13:08:00Z,98.09,1.46
2026-03-19T13:09:00Z,97.99,2.14
2026-03-19T13:10:00Z,97.25,3.03
2026-03-19T13:11:00Z,97.00,3.28
2026-03-19T13:12:00Z,97.86,2.71
2026-03-19T13:13:00Z,99.00,1.03
2026-03-19T13:14:00Z,99.00,1.36
2026-03-19T13:15:00Z,99.00,2.00
2026-03-19T13:16:00Z,99.00,1.00
2026-03-19T13:17:00Z,99.00,1.00
2026-03-19T13:18:00Z,99.00,1.00
2026-03-19T13:19:00Z,99.00,1.00
2026-03-19T13:20:00Z,99.00,1.00
2026-03-19T13:21:00Z,99.00,1.08
2026-03-19T13:22:00Z,99.00,1.00
2026-03-19T13:23:00Z,99.00,1.00
2026-03-19T13:24:00Z,99.00,1.00
2026-03-19T13:26:00Z,99.00,1.00
2026-03-19T13:28:00Z,99.00,1.00
2026-03-19T13:31:00Z,99.00,1.00
2026-03-19T13:32:00Z,99.00,1.00
