# event_ticker=KXATPMATCH-26MAY11TIAPEL
# final_score=7-6(8) 6-1
# score_resolution=7-6 6-1
# match_winner=Andrea Pellegrino
# fav_player=Andrea Pellegrino
# dog_player=Frances Tiafoe
# kalshi_date=2026-05-11
timestamp,Frances Tiafoe,Andrea Pellegrino
2026-05-11T07:27:00Z,69.00,32.00
2026-05-11T07:28:00Z,69.00,32.00
2026-05-11T07:34:00Z,69.00,32.00
2026-05-11T07:36:00Z,69.00,32.91
2026-05-11T07:41:00Z,69.00,32.91
2026-05-11T07:43:00Z,69.00,33.00
2026-05-11T07:44:00Z,69.00,33.00
2026-05-11T07:56:00Z,69.00,33.00
2026-05-11T07:57:00Z,69.00,33.00
2026-05-11T08:05:00Z,69.00,33.00
2026-05-11T08:07:00Z,69.00,33.00
2026-05-11T08:10:00Z,69.00,33.00
2026-05-11T08:17:00Z,69.00,33.00
2026-05-11T08:18:00Z,69.00,33.00
2026-05-11T08:22:00Z,69.00,33.00
2026-05-11T08:23:00Z,69.00,33.00
2026-05-11T08:33:00Z,69.00,33.00
2026-05-11T08:34:00Z,69.00,33.00
2026-05-11T08:41:00Z,69.00,33.00
2026-05-11T08:44:00Z,69.00,33.00
2026-05-11T08:47:00Z,69.00,33.00
2026-05-11T08:51:00Z,69.00,33.00
2026-05-11T08:55:00Z,69.00,33.00
2026-05-11T08:57:00Z,69.00,33.00
2026-05-11T08:58:00Z,69.00,33.00
2026-05-11T08:59:00Z,69.00,33.00
2026-05-11T09:00:00Z,69.00,33.00
2026-05-11T09:02:00Z,69.00,33.00
2026-05-11T09:03:00Z,69.00,33.00
2026-05-11T09:05:00Z,69.00,33.00
2026-05-11T09:11:00Z,69.00,33.00
2026-05-11T09:15:00Z,69.00,32.00
2026-05-11T09:18:00Z,69.00,32.00
2026-05-11T09:19:00Z,69.00,32.00
2026-05-11T09:22:00Z,69.00,33.00
2026-05-11T09:30:00Z,69.00,33.00
2026-05-11T09:33:00Z,69.00,32.00
2026-05-11T09:34:00Z,69.00,32.00
2026-05-11T09:37:00Z,69.00,32.00
2026-05-11T09:43:00Z,69.00,32.00
2026-05-11T09:45:00Z,69.00,32.00
2026-05-11T09:47:00Z,69.00,32.00
2026-05-11T09:48:00Z,69.00,32.00
2026-05-11T09:49:00Z,68.00,32.00
2026-05-11T09:51:00Z,68.00,33.00
2026-05-11T09:53:00Z,68.00,33.00
2026-05-11T09:55:00Z,69.00,33.00
2026-05-11T09:56:00Z,69.00,33.00
2026-05-11T09:57:00Z,69.00,33.00
2026-05-11T10:00:00Z,69.00,33.00
2026-05-11T10:01:00Z,69.00,33.00
2026-05-11T10:02:00Z,69.00,33.00
2026-05-11T10:03:00Z,69.00,33.00
2026-05-11T10:04:00Z,69.00,33.00
2026-05-11T10:05:00Z,69.00,33.00
2026-05-11T10:06:00Z,69.00,33.00
2026-05-11T10:07:00Z,69.00,33.00
2026-05-11T10:08:00Z,69.00,33.00
2026-05-11T10:09:00Z,69.00,33.00
2026-05-11T10:10:00Z,69.00,33.00
