# event_ticker=KXATPMATCH-26MAY08COBATM
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Flavio Cobolli
# fav_player=Terence Atmane
# dog_player=Flavio Cobolli
# kalshi_date=2026-05-08
timestamp,Flavio Cobolli,Terence Atmane
2026-05-09T14:29:00Z,73.00,29.00
2026-05-09T14:31:00Z,73.00,29.00
2026-05-09T14:32:00Z,73.00,29.00
2026-05-09T14:33:00Z,73.00,29.00
2026-05-09T14:35:00Z,72.64,29.00
2026-05-09T14:36:00Z,73.00,29.00
2026-05-09T14:37:00Z,73.00,29.00
2026-05-09T14:38:00Z,73.00,29.00
2026-05-09T14:39:00Z,72.92,29.00
2026-05-09T14:40:00Z,72.04,29.00
2026-05-09T14:41:00Z,71.42,29.00
2026-05-09T14:42:00Z,71.95,29.00
2026-05-09T14:43:00Z,73.00,29.00
2026-05-09T14:44:00Z,72.86,29.00
2026-05-09T14:45:00Z,73.00,29.00
2026-05-09T14:46:00Z,72.00,29.31
2026-05-09T14:47:00Z,72.00,29.98
2026-05-09T14:48:00Z,72.93,30.00
2026-05-09T14:49:00Z,73.00,29.72
2026-05-09T14:50:00Z,73.00,29.72
2026-05-09T14:51:00Z,73.00,29.00
2026-05-09T14:52:00Z,73.00,29.00
2026-05-09T14:53:00Z,73.00,29.00
2026-05-09T14:54:00Z,73.00,29.00
2026-05-09T14:55:00Z,73.00,28.50
2026-05-09T14:56:00Z,73.00,28.50
2026-05-09T14:57:00Z,71.29,29.00
2026-05-09T14:58:00Z,69.61,31.25
2026-05-09T14:59:00Z,68.00,32.80
2026-05-09T15:00:00Z,67.25,33.42
2026-05-09T15:01:00Z,70.90,31.95
2026-05-09T15:02:00Z,71.11,29.82
2026-05-09T15:03:00Z,72.85,30.12
2026-05-09T15:04:00Z,73.97,27.21
2026-05-09T15:05:00Z,72.54,27.00
2026-05-09T15:06:00Z,72.49,28.89
2026-05-09T15:07:00Z,71.56,29.04
2026-05-09T15:08:00Z,71.04,31.00
2026-05-09T15:09:00Z,71.00,30.00
2026-05-09T15:10:00Z,71.68,30.00
2026-05-09T15:11:00Z,72.02,28.10
2026-05-09T15:12:00Z,69.98,30.96
2026-05-09T15:13:00Z,66.92,34.26
2026-05-09T15:14:00Z,71.70,29.50
