# event_ticker=KXATPMATCH-26APR24CERHAN
# final_score=6-1 7-5
# match_winner=Francisco Cerundolo
# fav_player=Francisco Cerundolo
# dog_player=Yannick Hanfmann
# kalshi_date=2026-04-24
timestamp,Francisco Cerundolo,Yannick Hanfmann
2026-04-25T10:11:00Z,91.59,8.02
2026-04-25T10:12:00Z,89.82,11.33
2026-04-25T10:13:00Z,86.98,15.38
2026-04-25T10:14:00Z,86.00,14.47
2026-04-25T10:15:00Z,87.71,14.23
2026-04-25T10:16:00Z,88.04,10.95
2026-04-25T10:17:00Z,87.00,13.18
2026-04-25T10:18:00Z,86.96,14.50
2026-04-25T10:19:00Z,85.49,15.00
2026-04-25T10:20:00Z,87.00,14.26
2026-04-25T10:21:00Z,86.14,14.58
2026-04-25T10:22:00Z,88.00,12.98
2026-04-25T10:23:00Z,87.00,13.00
2026-04-25T10:24:00Z,86.00,13.00
2026-04-25T10:25:00Z,90.92,9.62
2026-04-25T10:26:00Z,94.00,5.83
2026-04-25T10:27:00Z,93.51,9.54
2026-04-25T10:28:00Z,94.67,6.41
2026-04-25T10:29:00Z,89.65,10.23
2026-04-25T10:30:00Z,91.07,8.00
2026-04-25T10:31:00Z,94.90,3.93
2026-04-25T10:32:00Z,97.00,3.96
2026-04-25T10:33:00Z,97.91,2.10
2026-04-25T10:34:00Z,98.86,1.82
2026-04-25T10:35:00Z,98.88,2.39
2026-04-25T10:36:00Z,98.40,1.00
2026-04-25T10:37:00Z,98.12,2.98
2026-04-25T10:38:00Z,98.09,2.83
2026-04-25T10:39:00Z,98.09,2.92
2026-04-25T10:40:00Z,96.73,3.25
2026-04-25T10:41:00Z,94.02,6.62
2026-04-25T10:42:00Z,91.96,9.83
2026-04-25T10:43:00Z,93.08,7.61
2026-04-25T10:44:00Z,94.29,4.00
2026-04-25T10:45:00Z,88.76,12.95
2026-04-25T10:46:00Z,85.45,15.42
2026-04-25T10:47:00Z,87.98,14.58
2026-04-25T10:48:00Z,89.42,9.83
2026-04-25T10:49:00Z,89.01,8.32
2026-04-25T10:50:00Z,96.87,3.11
2026-04-25T10:51:00Z,97.55,2.15
2026-04-25T10:52:00Z,98.34,1.36
2026-04-25T10:53:00Z,98.98,1.00
2026-04-25T10:54:00Z,98.98,1.00
2026-04-25T10:55:00Z,99.00,1.00
2026-04-25T10:56:00Z,99.00,1.00
