# event_ticker=KXATPCHALLENGERMATCH-26APR09NIKHEI
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Gustavo Heide
# fav_player=Johan Nikles
# dog_player=Gustavo Heide
# kalshi_date=2026-04-09
timestamp,Johan Nikles,Gustavo Heide
2026-04-09T22:14:00Z,4.55,95.96
2026-04-09T22:15:00Z,2.99,96.86
2026-04-09T22:16:00Z,1.63,98.30
2026-04-09T22:17:00Z,1.92,98.09
2026-04-09T22:18:00Z,2.08,98.00
2026-04-09T22:19:00Z,1.86,97.65
2026-04-09T22:20:00Z,3.13,96.97
2026-04-09T22:21:00Z,4.00,96.11
2026-04-09T22:22:00Z,3.70,97.02
2026-04-09T22:23:00Z,3.19,96.57
2026-04-09T22:24:00Z,4.45,96.28
2026-04-09T22:25:00Z,5.95,94.13
2026-04-09T22:26:00Z,4.35,95.26
2026-04-09T22:27:00Z,3.20,96.74
2026-04-09T22:28:00Z,5.10,95.62
2026-04-09T22:29:00Z,6.66,92.06
2026-04-09T22:30:00Z,8.39,92.26
2026-04-09T22:31:00Z,8.05,92.82
2026-04-09T22:32:00Z,5.41,94.79
2026-04-09T22:33:00Z,5.90,94.06
2026-04-09T22:34:00Z,6.27,94.70
2026-04-09T22:35:00Z,9.65,90.32
2026-04-09T22:36:00Z,12.92,88.35
2026-04-09T22:37:00Z,14.08,86.70
2026-04-09T22:38:00Z,16.52,83.89
2026-04-09T22:39:00Z,14.91,85.66
2026-04-09T22:40:00Z,14.14,85.07
2026-04-09T22:41:00Z,10.65,89.44
2026-04-09T22:42:00Z,7.11,93.86
2026-04-09T22:43:00Z,6.74,93.56
2026-04-09T22:44:00Z,6.58,93.64
2026-04-09T22:45:00Z,4.69,96.06
2026-04-09T22:46:00Z,4.10,95.16
2026-04-09T22:47:00Z,4.88,95.62
2026-04-09T22:48:00Z,2.13,98.66
2026-04-09T22:49:00Z,1.00,99.00
2026-04-09T22:50:00Z,1.20,98.66
2026-04-09T22:51:00Z,1.20,99.00
2026-04-09T22:52:00Z,1.20,99.00
