# event_ticker=KXATPMATCH-26MAR10HIJNOR
# final_score=6-4 6-2
# match_winner=Cameron Norrie
# fav_player=Cameron Norrie
# dog_player=Rinky Hijikata
# kalshi_date=2026-03-10
timestamp,Cameron Norrie,Rinky Hijikata
2026-03-11T18:24:00Z,84.02,17.19
2026-03-11T18:25:00Z,83.07,16.32
2026-03-11T18:26:00Z,84.91,17.98
2026-03-11T18:27:00Z,82.88,18.98
2026-03-11T18:28:00Z,81.55,19.48
2026-03-11T18:29:00Z,79.94,21.35
2026-03-11T18:30:00Z,79.90,22.10
2026-03-11T18:31:00Z,82.77,19.46
2026-03-11T18:32:00Z,82.09,19.00
2026-03-11T18:33:00Z,81.04,21.00
2026-03-11T18:34:00Z,79.73,20.99
2026-03-11T18:35:00Z,79.00,21.44
2026-03-11T18:36:00Z,80.89,20.22
2026-03-11T18:37:00Z,81.86,20.00
2026-03-11T18:38:00Z,82.14,19.67
2026-03-11T18:39:00Z,82.78,19.00
2026-03-11T18:40:00Z,81.06,20.00
2026-03-11T18:41:00Z,81.00,19.99
2026-03-11T18:42:00Z,81.08,20.05
2026-03-11T18:43:00Z,79.95,21.43
2026-03-11T18:44:00Z,78.06,23.55
2026-03-11T18:45:00Z,78.90,21.65
2026-03-11T18:46:00Z,82.00,19.06
2026-03-11T18:47:00Z,82.00,20.65
2026-03-11T18:48:00Z,80.00,21.30
2026-03-11T18:49:00Z,80.00,21.00
2026-03-11T18:50:00Z,82.88,18.90
2026-03-11T18:51:00Z,83.79,15.43
2026-03-11T18:52:00Z,83.54,16.41
2026-03-11T18:53:00Z,84.12,15.99
2026-03-11T18:54:00Z,84.52,15.99
2026-03-11T18:55:00Z,85.00,16.89
2026-03-11T18:56:00Z,83.85,18.18
2026-03-11T18:57:00Z,82.10,18.82
2026-03-11T18:58:00Z,82.10,18.44
2026-03-11T18:59:00Z,81.24,19.92
2026-03-11T19:00:00Z,82.22,17.25
2026-03-11T19:01:00Z,84.86,17.86
2026-03-11T19:02:00Z,85.00,16.86
2026-03-11T19:03:00Z,84.08,17.41
2026-03-11T19:04:00Z,84.00,18.91
2026-03-11T19:05:00Z,83.00,17.57
2026-03-11T19:06:00Z,83.00,18.02
2026-03-11T19:07:00Z,83.47,17.99
2026-03-11T19:08:00Z,84.03,19.00
2026-03-11T19:09:00Z,83.90,17.60
2026-03-11T19:10:00Z,84.99,15.33
2026-03-11T19:11:00Z,88.07,12.53
2026-03-11T19:12:00Z,89.61,12.77
2026-03-11T19:13:00Z,91.59,8.33
2026-03-11T19:14:00Z,94.94,5.34
2026-03-11T19:15:00Z,94.82,6.39
2026-03-11T19:16:00Z,93.92,5.68
2026-03-11T19:17:00Z,94.15,5.26
2026-03-11T19:18:00Z,96.87,3.84
2026-03-11T19:19:00Z,96.74,4.11
2026-03-11T19:20:00Z,96.25,3.86
2026-03-11T19:21:00Z,96.65,2.40
2026-03-11T19:22:00Z,98.86,1.15
2026-03-11T19:23:00Z,99.00,1.01
2026-03-11T19:24:00Z,99.00,1.01
2026-03-11T19:25:00Z,99.00,1.00
2026-03-11T19:26:00Z,99.00,1.00
2026-03-11T19:27:00Z,99.00,1.00
2026-03-11T19:28:00Z,99.00,1.00
2026-03-11T19:29:00Z,99.00,1.00
2026-03-11T19:30:00Z,99.00,1.00
2026-03-11T19:31:00Z,99.00,1.00
