# event_ticker=KXATPMATCH-26MAY08BORJOD
# final_score=7-6(4) 6-4
# score_resolution=6-7 4-6
# match_winner=Rafael Jodar
# fav_player=Nuno Borges
# dog_player=Rafael Jodar
# kalshi_date=2026-05-08
timestamp,Nuno Borges,Rafael Jodar
2026-05-08T08:42:00Z,21.00,81.00
2026-05-08T08:43:00Z,21.00,81.00
2026-05-08T08:45:00Z,21.00,81.00
2026-05-08T08:47:00Z,21.00,81.00
2026-05-08T08:48:00Z,20.00,81.21
2026-05-08T08:52:00Z,20.00,81.00
2026-05-08T08:53:00Z,20.00,81.00
2026-05-08T08:55:00Z,20.00,81.00
2026-05-08T08:56:00Z,20.00,81.00
2026-05-08T08:57:00Z,20.00,82.00
2026-05-08T08:58:00Z,20.00,81.08
2026-05-08T08:59:00Z,20.00,81.71
2026-05-08T09:00:00Z,21.00,82.00
2026-05-08T09:01:00Z,20.24,81.22
2026-05-08T09:02:00Z,20.00,82.00
2026-05-08T09:03:00Z,17.94,83.00
2026-05-08T09:04:00Z,18.00,83.00
2026-05-08T09:05:00Z,18.00,83.00
2026-05-08T09:06:00Z,18.00,83.00
2026-05-08T09:07:00Z,17.87,83.43
2026-05-08T09:08:00Z,15.77,84.03
2026-05-08T09:09:00Z,16.98,85.00
2026-05-08T09:10:00Z,16.00,85.00
2026-05-08T09:11:00Z,16.35,84.11
2026-05-08T09:12:00Z,15.36,87.38
2026-05-08T09:13:00Z,15.06,85.49
2026-05-08T09:14:00Z,17.81,83.05
2026-05-08T09:15:00Z,20.88,80.82
2026-05-08T09:16:00Z,24.04,76.66
2026-05-08T09:17:00Z,24.61,74.66
2026-05-08T09:18:00Z,28.46,72.09
2026-05-08T09:19:00Z,31.89,69.71
2026-05-08T09:20:00Z,31.89,69.61
2026-05-08T09:21:00Z,22.92,75.90
2026-05-08T09:22:00Z,24.89,75.91
2026-05-08T09:23:00Z,30.48,70.27
2026-05-08T09:24:00Z,37.11,63.95
2026-05-08T09:25:00Z,42.72,62.10
2026-05-08T09:26:00Z,39.57,61.48
2026-05-08T09:27:00Z,35.29,64.26
2026-05-08T09:28:00Z,35.96,65.00
2026-05-08T09:29:00Z,36.25,63.15
2026-05-08T09:30:00Z,39.43,61.87
2026-05-08T09:31:00Z,40.77,61.59
2026-05-08T09:32:00Z,39.44,63.64
2026-05-08T09:33:00Z,41.51,59.71
2026-05-08T09:34:00Z,42.42,59.61
2026-05-08T09:35:00Z,40.85,61.95
2026-05-08T09:36:00Z,44.63,58.16
2026-05-08T09:37:00Z,41.00,60.00
2026-05-08T09:38:00Z,40.51,60.00
2026-05-08T09:39:00Z,37.73,62.71
2026-05-08T09:40:00Z,30.52,67.97
2026-05-08T09:41:00Z,21.97,78.17
2026-05-08T09:42:00Z,20.13,79.74
2026-05-08T09:43:00Z,19.68,79.78
2026-05-08T09:44:00Z,18.59,82.17
2026-05-08T09:45:00Z,18.34,82.27
2026-05-08T09:46:00Z,19.77,80.58
2026-05-08T09:47:00Z,19.15,82.02
2026-05-08T09:48:00Z,21.29,78.75
2026-05-08T09:49:00Z,24.54,76.91
2026-05-08T09:50:00Z,29.86,68.60
2026-05-08T09:51:00Z,33.70,65.56
2026-05-08T09:52:00Z,29.34,70.28
2026-05-08T09:53:00Z,32.21,71.65
2026-05-08T09:54:00Z,22.16,79.05
2026-05-08T09:55:00Z,21.84,79.00
2026-05-08T09:56:00Z,18.90,80.00
2026-05-08T09:57:00Z,13.38,85.33
2026-05-08T09:58:00Z,18.58,83.71
2026-05-08T09:59:00Z,23.77,76.02
2026-05-08T10:00:00Z,23.79,78.13
2026-05-08T10:01:00Z,29.50,73.60
2026-05-08T10:02:00Z,35.13,64.43
2026-05-08T10:03:00Z,36.29,64.82
2026-05-08T10:04:00Z,28.80,70.43
2026-05-08T10:05:00Z,27.16,70.60
2026-05-08T10:06:00Z,30.00,68.17
2026-05-08T10:07:00Z,22.30,77.34
2026-05-08T10:08:00Z,12.95,86.54
2026-05-08T10:09:00Z,10.17,90.17
2026-05-08T10:10:00Z,10.42,89.54
2026-05-08T10:11:00Z,10.91,90.66
2026-05-08T10:12:00Z,11.00,90.98
2026-05-08T10:13:00Z,10.21,89.83
2026-05-08T10:14:00Z,9.26,90.00
2026-05-08T10:15:00Z,9.13,91.01
2026-05-08T10:16:00Z,8.95,92.24
2026-05-08T10:17:00Z,8.82,92.92
2026-05-08T10:18:00Z,7.02,93.36
2026-05-08T10:19:00Z,4.13,96.60
2026-05-08T10:20:00Z,4.33,96.00
2026-05-08T10:21:00Z,3.73,96.93
2026-05-08T10:22:00Z,3.97,96.30
2026-05-08T10:23:00Z,3.67,96.33
2026-05-08T10:24:00Z,4.64,96.00
2026-05-08T10:25:00Z,5.00,97.00
2026-05-08T10:26:00Z,4.83,96.04
2026-05-08T10:27:00Z,4.47,96.00
2026-05-08T10:28:00Z,4.11,95.00
