# event_ticker=KXATPMATCH-26MAR12ALCNOR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Carlos Alcaraz
# fav_player=Cameron Norrie
# dog_player=Carlos Alcaraz
# kalshi_date=2026-03-12
timestamp,Cameron Norrie,Carlos Alcaraz
2026-03-12T22:44:00Z,7.00,94.00
2026-03-12T22:47:00Z,7.00,94.00
2026-03-12T22:48:00Z,7.00,94.00
2026-03-12T22:49:00Z,7.00,94.00
2026-03-12T22:51:00Z,7.00,94.00
2026-03-12T22:52:00Z,7.00,94.00
2026-03-12T22:53:00Z,7.00,94.00
2026-03-12T22:54:00Z,7.00,94.00
2026-03-12T22:55:00Z,6.23,94.00
2026-03-12T22:56:00Z,7.00,94.00
2026-03-12T22:57:00Z,7.00,93.28
2026-03-12T22:58:00Z,7.00,93.28
2026-03-12T23:00:00Z,7.00,93.28
2026-03-12T23:01:00Z,7.00,93.28
2026-03-12T23:03:00Z,7.00,94.00
2026-03-12T23:04:00Z,7.00,94.00
2026-03-12T23:05:00Z,7.00,94.00
2026-03-12T23:06:00Z,6.00,94.00
2026-03-12T23:07:00Z,7.00,94.00
2026-03-12T23:08:00Z,7.00,94.00
2026-03-12T23:09:00Z,7.00,94.00
2026-03-12T23:10:00Z,7.00,94.00
2026-03-12T23:11:00Z,7.00,94.00
2026-03-12T23:12:00Z,7.00,94.00
2026-03-12T23:16:00Z,7.00,94.00
2026-03-12T23:19:00Z,7.00,94.00
2026-03-12T23:20:00Z,7.00,94.00
2026-03-12T23:21:00Z,7.00,94.00
2026-03-12T23:22:00Z,7.00,94.00
2026-03-12T23:23:00Z,7.00,94.00
2026-03-12T23:24:00Z,7.00,94.00
2026-03-12T23:25:00Z,7.00,93.00
2026-03-12T23:26:00Z,7.00,93.00
2026-03-12T23:29:00Z,7.00,93.00
2026-03-12T23:30:00Z,7.00,93.00
2026-03-12T23:31:00Z,7.00,94.00
2026-03-12T23:33:00Z,7.00,94.00
2026-03-12T23:34:00Z,7.00,94.00
2026-03-12T23:36:00Z,7.00,94.00
2026-03-12T23:37:00Z,7.00,94.00
2026-03-12T23:38:00Z,7.00,94.00
2026-03-12T23:39:00Z,7.00,94.00
2026-03-12T23:40:00Z,7.00,94.00
2026-03-12T23:41:00Z,7.00,94.00
2026-03-12T23:43:00Z,7.00,94.00
2026-03-12T23:44:00Z,7.00,94.00
2026-03-12T23:45:00Z,7.00,94.00
2026-03-12T23:46:00Z,7.00,94.00
2026-03-12T23:47:00Z,7.00,94.00
2026-03-12T23:48:00Z,7.00,94.00
2026-03-12T23:49:00Z,7.00,94.00
2026-03-12T23:51:00Z,7.00,94.00
2026-03-12T23:52:00Z,7.00,94.00
2026-03-12T23:53:00Z,7.00,94.00
2026-03-12T23:54:00Z,7.00,94.00
2026-03-12T23:55:00Z,7.00,94.00
2026-03-12T23:58:00Z,7.00,94.00
2026-03-12T23:59:00Z,7.00,94.00
2026-03-13T00:00:00Z,7.00,94.00
2026-03-13T00:01:00Z,7.00,94.00
2026-03-13T00:02:00Z,7.00,94.00
2026-03-13T00:03:00Z,7.00,94.00
2026-03-13T00:04:00Z,7.00,94.00
2026-03-13T00:05:00Z,7.00,94.00
2026-03-13T00:06:00Z,6.00,94.00
2026-03-13T00:07:00Z,6.00,94.00
2026-03-13T00:09:00Z,6.00,94.00
2026-03-13T00:10:00Z,7.00,94.00
2026-03-13T00:11:00Z,7.00,94.00
2026-03-13T00:12:00Z,7.00,94.00
2026-03-13T00:14:00Z,7.00,94.00
2026-03-13T00:15:00Z,7.00,94.00
2026-03-13T00:16:00Z,7.00,94.00
2026-03-13T00:17:00Z,7.00,93.00
2026-03-13T00:19:00Z,7.00,93.00
2026-03-13T00:20:00Z,7.00,94.00
2026-03-13T00:21:00Z,7.00,94.00
2026-03-13T00:22:00Z,7.00,94.00
2026-03-13T00:23:00Z,7.00,94.00
2026-03-13T00:24:00Z,7.00,94.00
2026-03-13T00:25:00Z,7.00,94.00
2026-03-13T00:26:00Z,7.00,94.00
2026-03-13T00:28:00Z,7.00,94.00
2026-03-13T00:29:00Z,7.00,94.00
2026-03-13T00:30:00Z,7.00,94.00
2026-03-13T00:31:00Z,7.00,94.00
2026-03-13T00:32:00Z,6.96,94.00
2026-03-13T00:33:00Z,7.00,94.00
2026-03-13T00:34:00Z,7.00,94.00
2026-03-13T00:35:00Z,7.00,94.00
2026-03-13T00:36:00Z,7.00,94.00
2026-03-13T00:38:00Z,7.00,94.00
2026-03-13T00:39:00Z,6.00,93.51
2026-03-13T00:40:00Z,7.00,94.00
2026-03-13T00:41:00Z,7.00,94.00
2026-03-13T00:42:00Z,7.00,94.00
2026-03-13T00:43:00Z,7.00,94.00
2026-03-13T00:44:00Z,7.00,94.00
2026-03-13T00:45:00Z,7.00,94.00
2026-03-13T00:46:00Z,7.00,93.01
2026-03-13T00:47:00Z,7.00,93.01
2026-03-13T00:48:00Z,7.00,94.00
2026-03-13T00:49:00Z,7.00,94.00
2026-03-13T00:50:00Z,7.00,94.00
2026-03-13T00:51:00Z,7.00,94.00
2026-03-13T00:52:00Z,7.00,94.00
