# event_ticker=KXATPMATCH-26MAR04FONCOL
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Joao Fonseca
# fav_player=Joao Fonseca
# dog_player=Raphael Collignon
# kalshi_date=2026-03-04
timestamp,Joao Fonseca,Raphael Collignon
2026-03-05T04:18:00Z,95.10,4.58
2026-03-05T04:19:00Z,95.77,5.03
2026-03-05T04:20:00Z,93.92,4.40
2026-03-05T04:21:00Z,94.67,5.98
2026-03-05T04:22:00Z,94.94,6.00
2026-03-05T04:23:00Z,93.21,7.22
2026-03-05T04:24:00Z,95.12,5.51
2026-03-05T04:25:00Z,96.00,5.01
2026-03-05T04:26:00Z,96.62,4.15
2026-03-05T04:27:00Z,95.99,5.00
2026-03-05T04:28:00Z,95.04,5.08
2026-03-05T04:29:00Z,94.42,5.00
2026-03-05T04:30:00Z,93.86,4.07
2026-03-05T04:31:00Z,95.03,5.90
2026-03-05T04:32:00Z,95.96,4.91
2026-03-05T04:33:00Z,96.80,3.41
2026-03-05T04:34:00Z,97.96,2.04
2026-03-05T04:35:00Z,97.80,2.91
2026-03-05T04:36:00Z,97.69,2.58
2026-03-05T04:37:00Z,97.96,2.91
2026-03-05T04:38:00Z,97.92,2.94
2026-03-05T04:39:00Z,98.98,1.03
2026-03-05T04:40:00Z,99.00,1.00
2026-03-05T04:41:00Z,99.00,1.00
2026-03-05T04:42:00Z,99.00,1.00
